category,subcategory,name,description,url,price,image
LEDs and LED Lighting,LED Modules,SparkFun 24V 750mA COB LED Linear Module Kit SYN1156B,"The SparkFun 24V 750mA COB LED Linear Module Kit SYN1156B is a high-brightness LED module with a maximum current of 750mA and a maximum voltage of 24V, featuring a ±5% current tolerance. It is available in a compact 12.5mm x 50mm x 6.5mm aluminum housing and operates within a temperature range of -20°C to 60°C. This module is suitable for a variety of applications, including LED strips, display lighting, and decorative lighting. The module is designed for effortless surface mounting and can be easily integrated into existing lighting systems. Key specs: 24V, 750mA, 5% tolerance, 12.5mm x 50mm x 6.5mm.",https://www.arrow.com/en/products/led_modules_sf_cob_syn1156b,87.59,/images/LED_Modules_SF_COB_SYN1156B.jpg
Displays,LCD Monitors,"Elo Touch Solutions 10.1 inch Sunlight-Readable Marine Display - 1080p, Touchscreen","The Elo Touch Solutions 10.1 inch Sunlight-Readable Marine Display is a high brightness, 1080p, touchscreen LCD monitor designed for harsh marine environments. Operating from 9-36V DC at a maximum current of 2A, this display supports a wide range of voltage inputs and has a tolerance of 10%. With a 60Hz refresh rate and a temperature range of -20°C to 60°C, this display is well-suited for applications such as navigation systems and control panels on boats and yachts. Typical applications include marine electronics and outdoor digital signage. This display is housed in a rugged, marine-grade enclosure with a depth of 2.5 inches and IP65 rating. Key specs: 10.1 inch, 1080p, 1000 cd/m² brightness, Touchscreen, 9-36V DC, 2A, -20°C to 60°C.",https://www.arrow.com/en/products/lcd_monitors_elo_mar10_1t_touch_syn,486.99,/images/LCD_Monitors_ELO_MAR10_1T_TOUCH_SYN.jpg
Batteries and Accessories,Batteries,Yuasa 4-Pack NiMH AA 2000mAh Rechargeable Battery Kit - SYN-400A,"The Yuasa 4-Pack NiMH AA 2000mAh Rechargeable Battery Kit is a set of four Nickel-Metal Hydride AA batteries with a nominal voltage of 1.2V and a capacity of 2000mAh each, suitable for a wide range of applications including flashlights, toys, and household devices. The batteries have a self-discharge rate of less than 20% per year and can be recharged up to 500 times. They are designed for use in temperatures between -20°C and 40°C. Typical applications include power tools, radios, and remote controls. The kit includes four AA batteries and a plastic storage case. Key specs: 1.2V, 2000mAh, NiMH, Rechargeable, 4-Pack.",https://www.arrow.com/en/products/batteries_yuasa_syn400a,10.99,/images/Batteries_YUASA_SYN400A.jpg
LEDs and LED Lighting,Lighting Fixtures,Cree Lighting 13W 3000K Dimmable LED Downlight Fixture CRI90+ DLC,"The CLR-DL13W3K-DLC is a 13W 3000K dimmable LED downlight fixture from Cree Lighting, featuring a high color rendering index of 90+ and DLC certification for energy efficiency, operates on 120V AC with a current of 100mA, has a frequency of 50/60Hz, and is suitable for use in temperatures ranging from -20°C to 40°C, ideal for residential and commercial lighting applications, the fixture is a compact 6-inch round design with a recessed ceiling mount Key specs: 13W, 3000K, CRI90+, DLC certified, 120V AC, 100mA, 50/60Hz.",https://www.arrow.com/en/products/lighting_fixtures_clr_dl13w3k_dlc,459.17,/images/Lighting_Fixtures_CLR_DL13W3K_DLC.jpg
RF and Microwave,Antennas,"2J Antennas LTE MIMO Puck Antenna, Dual-Band, Linear Polarization, 1.7-2.7 GHz","The 2J Antennas LTE MIMO Puck Antenna is a high-gain, dual-band antenna designed for 4G LTE applications, operating in the 1.7-2.7 GHz frequency range with linear polarization. It has a VSWR of less than 2:1 and a gain of up to 5 dBi. The antenna is suitable for use in various environments, with an operating temperature range of -40°C to 85°C. Typical applications include small cells, rural broadband, and IoT devices. The antenna is housed in a compact, ruggedized enclosure with a diameter of 100 mm and a height of 25 mm. Key specs: Dual-Band, 1.7-2.7 GHz, Linear Polarization, 5 dBi gain.",https://www.arrow.com/en/products/antennas_2ja_lte_mimo_syn,121.59,/images/Antennas_2JA_LTE_MIMO_SYN.jpg
Wire and Cable,Cable Assembly Coaxial,Amphenol RF A-RP-SMA-LLWF-005 Low-Loss WiFi Antenna Cable 5ft,"The Amphenol RF A-RP-SMA-LLWF-005 Low-Loss WiFi Antenna Cable is a 5ft long coaxial cable assembly designed for Wi-Fi antenna applications, featuring a maximum operating frequency of 6GHz, 50ohm impedance, and low loss of 0.2dB/ft at 2.4GHz. The cable is constructed with a flexible, flame retardant jacket and is rated for operating temperatures from -40 to 85°C. Typical applications include Wi-Fi access points, routers, and wireless network devices. The cable is terminated with a RP-SMA male connector and is shipped in a individual package. Key specs: 6GHz, 50ohm, 0.2dB/ft at 2.4GHz, -40 to 85°C, RP-SMA male connector.",https://www.arrow.com/en/products/cable_assembly_coaxial_arfllwcbl_005syn,42.00,/images/Cable_Assembly_Coaxial_ARFLLWCBL_005SYN.jpg
Computer Products,Computer Mouse,"iKey RGB Gaming Mouse, Wired, 16,000 DPI Optical Sensor, Ergonomic Design","The iKey RGB Gaming Mouse is a wired gaming mouse featuring a 16,000 DPI optical sensor, 16 million color RGB LED lights, and an ergonomic design for comfortable grip and movement. Operating voltage is 5V, current is 50mA maximum, and the device is compatible with Windows, macOS, and Linux operating systems. Typical applications include PC gaming and multimedia presentations. The device measures 4.9 x 2.8 x 1.7 inches and weighs 4.1 ounces. Key specs: Wired, 16,000 DPI Optical Sensor, 16 Million Color RGB LED, Ergonomic Design.",https://www.arrow.com/en/products/computer_mouse_ik_rgm_w16k_syn,23.95,/images/Computer_Mouse_IK_RGM_W16K_SYN.jpg
Computer Products,Keypads and Keyboards,"Logitech G512 Mechanical Gaming Keyboard, Romer-G Switches","The Logitech G512 is a high-performance mechanical gaming keyboard featuring Logitech's proprietary Romer-G switches, designed for gamers and enthusiasts alike. This keyboard operates at a nominal voltage of 5V and draws up to 500mA of current. It features customizable backlighting with a wide frequency range and is built with a durable, spill-resistant design. Ideal for gaming PCs and workstations, this keyboard is also suitable for high-productivity applications. The keyboard is housed in a compact, tenkeyless form factor with a ruggedized steel-reinforced frame. Key specs: Romer-G Switches, 5V, 500mA, Customizable Backlighting, Steel-Reinforced Frame.",https://www.arrow.com/en/products/keypads_and_keyboards_logg512_mec_syn,72.95,/images/Keypads_and_Keyboards_LOGG512_MEC_SYN.jpg
Wire and Cable,Cable Assembly Coaxial,L-com 6 Inch SMA Plug to RP-SMA Jack Coaxial Pigtail Cable Assembly,"The L-com LC-SMARP-6SYN is a 6 inch SMA plug to RP-SMA jack coaxial pigtail cable assembly, designed for applications requiring a compact and reliable RF connection. This cable assembly features a frequency range of 0-18 GHz, a maximum operating voltage of 1000V RMS, and a current rating of 500 mA. The assembly is built with a 50 ohm impedance coaxial cable, ensuring low signal loss and distortion. Typical applications include RF test and measurement, wireless communication systems, and satellite communication systems. This pigtail cable assembly is housed in a compact, flexible package, suitable for a variety of space-constrained installations. Key specs: 6 inch, SMA plug to RP-SMA jack, 0-18 GHz frequency range, 1000V RMS max voltage, 500 mA current rating.",https://www.arrow.com/en/products/cable_assembly_coaxial_lc_smarp_6syn,87.46,/images/Cable_Assembly_Coaxial_LC_SMARP_6SYN.jpg
LEDs and LED Lighting,"LED Light Bars, Arrays and Bar Graphs","Dialight 15.625in 24V Emergency Exit LED Light Bar, High Brightness","The Dialight DLY-EXL-24-SYN is a 15.625in long emergency exit LED light bar that operates at 24V DC and is designed to provide high brightness in emergency situations. It features a current rating of 180mA, a tolerance of ±10%, and is suitable for use in temperatures ranging from -20°C to 50°C. The light bar is typically used in emergency exit signs, stairwell lighting, and other applications where high brightness is required. The unit is housed in a rugged polycarbonate enclosure with end-to-end connectors for easy installation. Key specs: 24V, 180mA, ±10% tolerance, polycarbonate enclosure.",https://www.arrow.com/en/products/led_light_bars_arrays_and_bar_graphs_dly_exl_24_syn,129.99,/images/LED_Light_Bars_Arrays_and_Bar_Graphs_DLY_EXL_24_SYN.jpg
Mobile Computing,Tablet PCs,Honeywell Dolphin CT60HD 10.1 in. Mobile Computer Tablet with Zebra SE4710 Scanner,"The Honeywell Dolphin CT60HD is a fully rugged 10.1 in. mobile computer tablet designed for use in warehouses and distribution centers, featuring a Zebra SE4710 1D/2D barcode scanner with a scanning range up to 40 inches, operating from 3.5V to 4.2V DC and consuming 1.5A during scanning, with an operating temperature range of -20°C to 50°C, and is typically used for asset tracking and inventory management, and comes in a compact, ergonomic design that is easy to hold and use in the field. Key specs: 10.1 in. Display, Zebra SE4710 Scanner, 3.5-4.2V DC, -20°C to 50°C.",https://www.arrow.com/en/products/tablet_pcs_ct60hd_syn_101,587.99,/images/Tablet_PCs_CT60HD_SYN_101.jpg
Power Supplies,External Plug-In Adapters,CUI Inc. VOF-12-3-S5 12V 3A Desktop Adapter,"The VOF-12-3-S5 is a compact 12V 3A external plug-in adapter designed for high efficiency and reliability. It features a universal input range of 100-240VAC, 50/60Hz, with an output tolerance of ±5% and a high isolation voltage of 3000VAC. The adapter is also certified to meet the global energy efficiency standards, including Energy Star and ErP. It is suitable for various applications, including laptop charging stations, medical devices, and consumer electronics. The adapter has a compact IEC320-C5 connector and a desktop form factor with dimensions of 4.8 x 2.2 x 1.3 inches. Key specs: 12V, 3A, ±5% tolerance, 100-240VAC input, 50/60Hz.",https://www.arrow.com/en/products/external_plug_in_adapters_vof_12_3_syn,35.99,/images/External_Plug_In_Adapters_VOF_12_3_SYN.jpg
Audio Components,Microphones,Audio-Technica AT899LY-SYN Lavalier Tie-Clip Microphone - 20Hz to 20kHz,"The Audio-Technica AT899LY-SYN is a lavalier tie-clip microphone designed for capturing high-quality audio in public speaking, broadcasting, and film applications. It features a frequency response of 20Hz to 20kHz and an impedance of 250 ohms. The microphone has a maximum SPL of 120 dB and operates on 1.5V to 10V DC. It is housed in a durable ABS plastic case and comes with a 3.9-foot (1.2-meter) cable terminated with a 3.5mm TRS connector. The microphone is ideal for use with cameras, camcorders, and portable audio recorders. The AT899LY-SYN is compact and lightweight, making it easy to clip onto a shirt or tie. Key specs: 20Hz to 20kHz, 250 ohms, 1.5V to 10V DC, 120 dB SPL, 3.9-foot cable.",https://www.arrow.com/en/products/microphones_at899ly_syn,55.93,/images/Microphones_AT899LY_SYN.jpg
Batteries and Accessories,Batteries,Energizer 2400mAh NiMH AA Rechargeable Battery 4-Pack EL1234SYN,"The Energizer 2400mAh NiMH AA Rechargeable Battery 4-Pack is a reliable and long-lasting power solution for various portable devices. With a nominal voltage of 1.2V and a capacity of 2400mAh, these batteries can handle moderate to high-drain applications. They have a self-discharge rate of less than 20% per year and can be charged up to 400 times. Typical applications include cordless power tools, gaming controllers, and portable speakers. Each battery measures 49.2mm in length, 14.3mm in diameter, and weighs 23 grams, making them a compact and lightweight power solution. Key specs: 2400mAh, 1.2V, NiMH, AA, 400 charge cycles.",https://www.arrow.com/en/products/batteries_el1234syn,23.45,/images/Batteries_EL1234SYN.jpg
Computer Products,Printers,Honeywell PC43t Direct Thermal Industrial Barcode Printer 4-in 300dpi SYN-1234A,"The Honeywell PC43t is an industrial barcode printer designed for mid-to-high volume printing applications, offering 300dpi resolution and a 4-inch print width. It operates from a 24V DC supply and draws up to 4A of current. The printer features a metal housing and supports a wide range of media types. Typical applications include manufacturing, warehousing, and healthcare. The printer measures 10.2 inches wide, 9.4 inches deep, and 8.1 inches high, making it suitable for desktop or production-line use. Key specs: 300dpi, 4-in print width, 24V DC, 4A, metal housing.",https://www.arrow.com/en/products/printers_hpc43t_syn_1234a,998.19,/images/Printers_HPC43T_SYN_1234A.jpg
Power Supplies,External Plug-In Adapters,Phihong 12V 3A Desktop Adapter PSC03A120-1420,"The Phihong 12V 3A Desktop Adapter PSC03A120-1420 is a high-efficiency, external power supply delivering 12V DC at 3A with ±5% tolerance. Operating at a frequency of 50/60 Hz, this adapter features a universal AC input of 90-264V AC. Typical applications include powering small desktop devices, routers, and security cameras. The adapter comes in a compact, UL-approved desktop package measuring 3.5 x 2.5 x 1.2 inches. Key specs: 12V, 3A, ±5% tolerance, 50/60 Hz, compact desktop package.",https://www.arrow.com/en/products/external_plug_in_adapters_psa1228_syn,43.99,/images/External_Plug_In_Adapters_PSA1228_SYN.jpg
